w_throughput,w_fairness,w_smoothness,throughput,variance,stops
0.6962930077480712,0.1214304177961015,0.1822765744558274,1049.0,12.758306937499999,15033.0
0.4635923913470872,0.24763763352526783,0.28876997512764496,1045.0,11.6403353764118,14929.0
0.45495581484738246,0.21794334768732437,0.3271008374652932,1060.0,15.952910571520508,16328.0
0.5168620833541749,0.16892421238529676,0.31421370426052836,1051.0,12.774418229409443,15216.0
0.599974252589936,0.1504083849633122,0.2496173624467517,1055.0,12.710670124382927,15714.0
0.39747479576854283,0.2891283354445742,0.31339686878688294,1059.0,14.019620492067029,16555.0
0.469800664996697,0.1985188894114739,0.331680445591829,1049.0,12.213399999999998,15760.0
0.3806249351256008,0.1558435680526159,0.4635314968217833,1044.0,11.32819484533926,14757.0
0.6175322760369973,0.05067056187376762,0.33179716208923504,1049.0,12.445599000000001,15196.0
0.5042031876732652,0.18060729514951757,0.3151895171772172,1045.0,12.5559069375,14567.0
0.5974226182427059,0.1940743075335019,0.2085030742237921,1044.0,11.087047437499999,14829.0
0.6414836957407325,0.051423547756059375,0.30709275650320816,1053.0,13.241846674587267,15389.0
0.5750125780314677,0.01594092062931142,0.4090465013392209,1048.0,12.749622773844859,15138.0
0.5657106411602985,0.18024957648434486,0.2540397823553566,1047.0,12.084923437500002,15085.0
