step,sim_time_s,tl_phase,halt_north,halt_south,halt_east,halt_west,wait_north,wait_south,wait_east,wait_west,speed_north,speed_south,speed_east,speed_west,vehicles_in_network,agent_action,agent_action_label,phase_decision_timer
0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.78,27.78,27.78,27.78,2,,,0.0
1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.78,27.78,27.78,27.78,2,,,1.0
2,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.78,27.78,27.78,27.78,225,,,2.0
3,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.78,27.78,27.78,27.78,225,,,3.0
4,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.69,27.78,27.78,27.78,225,,,4.0
5,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.293,27.78,27.78,27.78,225,,,5.0
6,6.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.308,27.78,27.78,27.78,225,,,6.0
7,7.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.647,27.78,26.044,27.78,225,,,7.0
8,8.0,0,0,0,0,0,0.0,0.0,0.0,0.0,28.226,27.596,24.919,27.78,225,,,8.0
9,9.0,0,0,0,0,0,0.0,0.0,0.0,0.0,28.054,25.962,23.794,27.78,225,,,9.0
10,10.0,1,0,0,0,0,0.0,0.0,0.0,0.0,28.587,26.327,22.669,27.78,225,1,EW_green,10.0
11,11.0,1,0,0,0,0,0.0,0.0,0.0,0.0,28.35,25.492,21.544,27.78,225,1,EW_green,10.0
12,12.0,1,0,0,0,0,0.0,0.0,0.0,0.0,26.85,23.746,20.884,27.78,225,1,EW_green,10.0
13,13.0,1,0,0,1,0,0.0,0.0,1.0,0.0,25.063,20.985,20.858,27.78,225,1,EW_green,10.0
14,14.0,2,1,1,0,0,0.0,0.0,0.0,0.0,18.066,14.286,27.78,27.78,225,1,EW_green,10.0
15,15.0,2,1,1,0,0,1.0,1.0,0.0,0.0,18.037,12.839,24.054,27.78,225,1,EW_green,10.0
16,10.0,0,1,1,0,0,2.0,2.0,0.0,0.0,17.951,11.434,24.405,24.77,225,1,EW_green,0.0
17,17.0,2,1,1,0,0,3.0,3.0,0.0,0.0,16.559,9.911,24.95,23.757,225,1,EW_green,1.0
18,18.0,2,1,1,0,0,4.0,4.0,0.0,0.0,15.188,8.859,27.78,22.69,225,1,EW_green,2.0
19,19.0,2,1,2,0,0,5.0,6.0,0.0,0.0,13.736,9.109,27.78,20.222,225,1,EW_green,3.0
20,20.0,2,1,2,0,0,6.0,8.0,0.0,0.0,16.482,16.569,27.78,19.624,225,1,EW_green,4.0
21,21.0,2,1,2,0,0,7.0,10.0,0.0,0.0,14.424,15.448,26.674,20.899,225,1,EW_green,5.0
22,22.0,2,1,2,0,1,8.0,12.0,0.0,1.0,13.011,13.593,25.728,20.856,224,1,EW_green,6.0
23,23.0,2,2,2,0,1,10.0,14.0,0.0,2.0,14.435,11.663,24.835,20.088,224,1,EW_green,7.0
24,24.0,2,2,2,0,1,12.0,16.0,0.0,3.0,13.697,10.772,23.71,20.835,224,1,EW_green,8.0
25,25.0,2,2,2,0,1,14.0,18.0,0.0,4.0,12.64,8.156,27.454,19.309,224,1,EW_green,9.0
26,26.0,2,2,2,0,1,16.0,20.0,0.0,5.0,10.887,6.164,27.442,19.084,224,1,EW_green,10.0
27,27.0,2,2,2,0,1,18.0,22.0,0.0,6.0,8.4,4.129,27.78,20.835,224,1,EW_green,11.0
28,28.0,2,2,4,0,1,20.0,26.0,0.0,7.0,5.819,5.342,27.78,20.722,224,1,EW_green,12.0
29,29.0,2,2,5,0,1,22.0,31.0,0.0,8.0,3.779,4.81,27.78,20.835,224,1,EW_green,13.0
30,30.0,2,3,6,0,1,25.0,37.0,0.0,9.0,2.39,4.36,27.78,20.835,224,1,EW_green,14.0
31,31.0,2,3,6,0,1,28.0,43.0,0.0,10.0,1.034,3.414,27.78,20.835,223,1,EW_green,15.0
32,32.0,3,3,6,0,1,31.0,49.0,0.0,11.0,0.153,2.288,27.78,20.835,222,1,EW_green,0.0
33,33.0,2,3,6,0,1,34.0,55.0,0.0,12.0,0.076,1.635,27.78,21.486,222,1,EW_green,1.0
34,34.0,2,5,6,0,1,39.0,61.0,0.0,13.0,0.009,1.059,27.78,20.835,221,1,EW_green,2.0
35,35.0,2,5,7,0,1,44.0,68.0,0.0,14.0,0.005,3.385,26.939,20.835,221,1,EW_green,3.0
36,36.0,2,5,7,0,1,49.0,75.0,0.0,15.0,0.0,4.689,27.193,20.835,221,1,EW_green,4.0
37,37.0,2,5,8,0,1,54.0,83.0,0.0,16.0,0.0,4.723,27.78,21.65,221,1,EW_green,5.0
38,38.0,2,5,8,0,1,59.0,91.0,0.0,17.0,4.928,5.577,27.78,19.778,221,1,EW_green,6.0
39,39.0,2,5,8,0,1,64.0,99.0,0.0,18.0,4.903,4.943,27.78,18.878,220,1,EW_green,7.0
40,40.0,2,5,8,0,1,69.0,107.0,0.0,19.0,4.814,5.636,27.78,17.978,217,1,EW_green,8.0
41,41.0,2,5,8,0,1,74.0,115.0,0.0,20.0,4.064,4.798,27.78,17.183,216,1,EW_green,9.0
42,42.0,3,5,8,0,2,79.0,123.0,0.0,22.0,3.314,5.101,27.78,16.683,215,0,NS_green,10.0
43,43.0,3,5,8,0,2,84.0,131.0,0.0,24.0,2.564,5.797,27.78,16.672,215,0,NS_green,10.0
44,44.0,3,5,9,0,2,89.0,140.0,0.0,26.0,6.008,5.114,27.78,15.54,215,0,NS_green,10.0
45,45.0,3,5,10,0,2,94.0,150.0,0.0,28.0,5.273,5.362,27.78,13.19,215,0,NS_green,10.0
46,46.0,4,5,10,0,1,99.0,160.0,0.0,5.0,4.225,3.978,27.78,14.028,214,0,NS_green,10.0
47,47.0,4,5,11,0,1,104.0,171.0,0.0,1.0,3.389,3.525,27.78,11.909,214,0,NS_green,10.0
48,42.0,2,5,11,0,0,109.0,182.0,0.0,0.0,2.699,2.819,25.685,10.982,214,0,NS_green,0.0
49,49.0,0,2,8,0,0,36.0,105.0,0.0,0.0,2.989,2.469,24.829,10.242,213,0,NS_green,1.0
50,50.0,0,0,6,0,1,0.0,48.0,0.0,1.0,2.431,2.248,23.704,10.065,213,0,NS_green,2.0
51,51.0,0,1,5,0,1,1.0,17.0,0.0,2.0,2.281,1.594,22.579,9.975,213,0,NS_green,3.0
52,52.0,0,1,5,0,2,2.0,9.0,0.0,3.0,7.971,2.642,21.256,6.562,212,0,NS_green,4.0
53,53.0,0,2,5,1,2,4.0,11.0,1.0,5.0,8.209,2.854,19.836,4.057,212,0,NS_green,5.0
54,54.0,0,2,7,1,2,6.0,15.0,2.0,7.0,8.746,2.356,14.668,3.151,212,0,NS_green,6.0
55,55.0,0,2,7,1,3,8.0,22.0,3.0,10.0,9.262,2.088,14.003,1.84,212,0,NS_green,7.0
56,56.0,0,1,8,1,4,6.0,30.0,4.0,14.0,9.733,1.978,13.413,0.635,212,0,NS_green,8.0
57,57.0,0,1,9,1,5,7.0,39.0,5.0,19.0,10.282,2.028,10.805,0.071,212,0,NS_green,9.0
58,58.0,1,0,8,1,7,0.0,33.0,6.0,26.0,27.78,2.031,9.944,0.009,212,1,EW_green,10.0
59,59.0,2,0,6,0,4,0.0,26.0,0.0,19.0,27.629,3.924,8.173,0.27,212,1,EW_green,10.0
60,60.0,2,0,4,1,4,0.0,18.0,1.0,23.0,27.289,4.252,6.479,4.062,212,1,EW_green,10.0
61,61.0,2,0,2,2,5,0.0,9.0,3.0,28.0,27.411,5.504,5.301,7.947,211,1,EW_green,10.0
62,62.0,2,0,1,3,5,0.0,5.0,6.0,33.0,27.386,4.641,4.71,7.937,211,1,EW_green,10.0
63,63.0,2,0,2,4,5,0.0,2.0,10.0,38.0,27.751,3.708,5.95,7.937,211,1,EW_green,10.0
64,58.0,0,0,3,5,5,0.0,5.0,15.0,43.0,26.249,4.319,5.287,7.937,210,1,EW_green,0.0
65,65.0,2,0,6,5,5,0.0,11.0,20.0,48.0,24.152,4.773,4.724,7.937,210,1,EW_green,1.0
66,66.0,2,0,7,5,5,0.0,18.0,25.0,53.0,21.629,3.564,4.101,7.937,209,1,EW_green,2.0
67,67.0,2,0,9,5,5,0.0,27.0,30.0,58.0,19.083,2.643,4.056,7.937,209,1,EW_green,3.0
68,68.0,2,0,9,6,5,0.0,36.0,36.0,63.0,15.399,1.785,3.98,7.937,209,1,EW_green,4.0
69,69.0,2,1,12,6,5,1.0,48.0,42.0,68.0,12.764,1.176,3.982,7.939,208,1,EW_green,5.0
70,70.0,2,1,13,6,5,2.0,61.0,48.0,73.0,9.239,0.694,3.976,6.979,207,1,EW_green,6.0
71,71.0,2,1,14,6,5,3.0,75.0,54.0,78.0,5.885,0.191,3.974,6.729,205,1,EW_green,7.0
72,72.0,2,2,14,6,5,5.0,89.0,60.0,83.0,3.619,0.022,3.973,7.937,205,1,EW_green,8.0
73,73.0,3,3,16,6,5,8.0,105.0,66.0,88.0,2.002,0.006,3.971,7.937,205,1,EW_green,0.0
74,74.0,2,3,16,3,4,11.0,121.0,30.0,79.0,0.756,0.002,11.233,11.906,205,1,EW_green,1.0
75,75.0,2,3,16,0,4,14.0,137.0,0.0,83.0,0.226,0.001,8.558,11.906,205,1,EW_green,2.0
76,76.0,2,4,16,0,4,18.0,153.0,0.0,87.0,0.161,0.0,9.88,11.906,204,1,EW_green,3.0
77,77.0,2,5,16,0,4,23.0,169.0,0.0,91.0,0.013,1.442,11.663,10.65,203,1,EW_green,4.0
78,78.0,2,5,16,0,4,28.0,185.0,0.0,95.0,0.001,2.755,19.771,10.594,201,1,EW_green,5.0
79,79.0,2,5,16,0,4,33.0,201.0,0.0,99.0,5.176,2.409,17.677,11.906,200,1,EW_green,6.0
80,80.0,2,5,16,0,4,38.0,217.0,0.0,103.0,5.065,1.981,23.618,11.906,199,1,EW_green,7.0
81,81.0,2,5,16,0,4,43.0,233.0,0.0,107.0,4.332,2.607,25.913,11.906,198,1,EW_green,8.0
82,82.0,2,5,16,0,4,48.0,249.0,0.0,111.0,3.672,1.992,25.129,11.906,197,1,EW_green,9.0
83,83.0,3,5,16,0,4,53.0,265.0,0.0,115.0,2.969,1.294,24.528,11.906,195,0,NS_green,10.0
84,84.0,3,5,17,0,4,58.0,282.0,0.0,119.0,2.219,0.66,23.438,11.906,195,0,NS_green,10.0
85,85.0,3,5,17,0,4,63.0,299.0,0.0,123.0,1.469,1.565,25.452,11.906,194,0,NS_green,10.0
86,86.0,3,5,17,0,4,68.0,316.0,0.0,127.0,0.719,1.471,19.591,10.117,194,0,NS_green,10.0
87,87.0,4,5,17,0,3,73.0,333.0,0.0,96.0,0.025,1.337,15.009,11.203,194,0,NS_green,10.0
88,88.0,4,6,18,0,2,79.0,351.0,0.0,65.0,0.01,2.076,14.907,10.67,194,0,NS_green,10.0
89,83.0,2,6,18,0,1,85.0,369.0,0.0,33.0,0.003,1.653,12.818,10.396,193,0,NS_green,0.0
90,90.0,0,3,15,0,0,32.0,304.0,0.0,0.0,5.676,2.267,10.517,10.373,192,0,NS_green,1.0
91,91.0,0,2,12,1,0,19.0,238.0,1.0,0.0,5.918,1.627,8.213,10.451,192,0,NS_green,2.0
92,92.0,0,2,14,1,1,6.0,176.0,2.0,1.0,6.424,2.105,7.082,5.715,191,0,NS_green,3.0
93,93.0,0,1,13,3,2,2.0,117.0,5.0,3.0,7.708,2.695,6.974,5.526,189,0,NS_green,4.0
94,94.0,0,1,11,3,2,3.0,81.0,8.0,5.0,8.664,2.904,6.958,4.867,188,0,NS_green,5.0
95,95.0,0,0,11,3,3,0.0,72.0,11.0,8.0,16.677,2.48,6.949,4.16,187,0,NS_green,6.0
96,96.0,0,0,7,3,3,0.0,42.0,14.0,11.0,20.539,2.904,6.946,5.492,187,0,NS_green,7.0
97,97.0,0,0,6,3,3,0.0,18.0,17.0,14.0,23.522,4.124,6.945,4.958,186,0,NS_green,8.0
98,98.0,0,0,6,3,5,0.0,20.0,20.0,19.0,28.317,3.518,6.945,1.001,185,0,NS_green,9.0
99,99.0,1,0,2,3,6,0.0,7.0,23.0,25.0,28.385,3.116,6.945,1.081,184,1,EW_green,10.0
100,100.0,2,0,2,0,4,0.0,2.0,0.0,19.0,26.895,2.957,19.31,4.134,184,1,EW_green,10.0
101,101.0,2,0,0,0,4,0.0,0.0,0.0,23.0,25.571,2.368,24.279,8.005,184,1,EW_green,10.0
102,102.0,2,0,0,1,4,0.0,0.0,0.0,27.0,24.071,2.998,16.971,9.779,183,1,EW_green,10.0
103,103.0,2,0,3,0,4,0.0,3.0,0.0,31.0,22.571,2.567,16.699,9.158,182,1,EW_green,10.0
104,104.0,2,0,4,0,4,0.0,7.0,0.0,35.0,21.071,2.864,21.992,8.598,182,1,EW_green,10.0
105,99.0,0,0,5,0,4,0.0,12.0,0.0,39.0,19.571,2.398,22.555,8.667,182,1,EW_green,0.0
106,106.0,2,0,7,0,4,0.0,19.0,0.0,43.0,18.689,2.526,23.186,11.906,181,1,EW_green,1.0
107,107.0,2,1,10,0,4,1.0,29.0,0.0,47.0,18.525,1.906,23.537,11.906,179,1,EW_green,2.0
108,108.0,2,1,11,0,4,2.0,40.0,0.0,51.0,18.521,1.884,27.78,11.906,177,1,EW_green,3.0
109,109.0,2,1,13,0,4,3.0,53.0,0.0,55.0,18.52,2.062,27.78,11.906,175,1,EW_green,4.0
110,110.0,2,1,14,0,4,4.0,67.0,0.0,59.0,18.52,1.783,27.78,11.906,172,1,EW_green,5.0
111,111.0,2,1,17,0,4,5.0,84.0,0.0,63.0,18.52,1.365,27.78,11.906,170,1,EW_green,6.0
112,112.0,2,1,20,0,4,6.0,103.0,0.0,67.0,18.52,1.608,27.022,11.906,170,1,EW_green,7.0
113,113.0,2,1,20,0,4,7.0,123.0,0.0,71.0,18.52,1.283,27.164,11.906,170,1,EW_green,8.0
114,114.0,2,1,21,0,4,8.0,144.0,0.0,75.0,18.52,0.841,27.78,11.408,169,1,EW_green,9.0
115,115.0,2,1,22,0,4,9.0,166.0,0.0,79.0,18.52,0.75,27.78,11.906,169,1,EW_green,10.0
116,116.0,3,1,24,0,4,10.0,190.0,0.0,83.0,18.52,0.695,27.78,11.906,169,0,NS_green,11.0
117,117.0,4,1,24,0,3,11.0,214.0,0.0,62.0,18.52,1.306,27.78,13.89,169,0,NS_green,11.0
118,118.0,4,1,25,0,2,12.0,239.0,0.0,41.0,18.52,2.45,27.78,14.658,169,0,NS_green,11.0
119,119.0,4,1,25,0,1,13.0,264.0,0.0,21.0,20.673,2.26,27.78,14.41,167,0,NS_green,11.0
120,120.0,4,1,27,0,0,14.0,291.0,0.0,0.0,20.441,2.227,27.78,15.077,165,0,NS_green,11.0
121,121.0,4,1,27,0,0,15.0,318.0,0.0,0.0,20.634,1.586,27.78,14.81,162,0,NS_green,11.0
122,116.0,2,1,28,0,0,16.0,345.0,0.0,0.0,20.064,1.353,27.78,15.405,162,0,NS_green,0.0
123,123.0,0,0,26,0,0,0.0,311.0,0.0,0.0,25.252,0.852,27.78,15.452,161,0,NS_green,1.0
124,124.0,0,0,26,0,0,0.0,280.0,0.0,0.0,24.225,0.421,27.78,13.791,160,0,NS_green,2.0
125,125.0,0,0,26,0,0,0.0,251.0,0.0,0.0,23.268,0.298,27.78,12.375,158,0,NS_green,3.0
126,126.0,0,0,25,0,0,0.0,222.0,0.0,0.0,22.575,0.287,27.78,10.068,158,0,NS_green,4.0
127,127.0,0,0,21,0,1,0.0,185.0,0.0,1.0,27.78,0.359,27.78,8.798,158,0,NS_green,5.0
128,128.0,0,0,18,0,2,0.0,148.0,0.0,3.0,27.611,0.861,27.78,8.14,157,0,NS_green,6.0
129,129.0,0,0,16,0,2,0.0,129.0,0.0,5.0,27.512,1.474,27.78,8.093,156,0,NS_green,7.0
130,130.0,0,0,14,0,4,0.0,117.0,0.0,9.0,27.3,1.402,27.78,7.982,156,0,NS_green,8.0
131,131.0,0,0,13,0,4,0.0,112.0,0.0,13.0,27.432,1.311,26.03,7.963,156,0,NS_green,9.0
132,132.0,1,0,12,1,5,0.0,97.0,0.0,18.0,27.011,1.826,18.091,6.111,155,1,EW_green,10.0
133,133.0,1,0,10,0,5,0.0,74.0,0.0,23.0,26.084,1.693,17.691,5.515,155,1,EW_green,10.0
134,134.0,1,0,8,0,5,0.0,57.0,0.0,28.0,24.584,1.622,14.207,4.872,155,1,EW_green,10.0
135,135.0,1,0,7,0,5,0.0,61.0,0.0,33.0,27.78,1.705,12.107,4.236,155,1,EW_green,10.0
136,136.0,2,0,10,0,4,0.0,55.0,0.0,31.0,27.78,2.066,14.151,11.906,155,1,EW_green,10.0
137,137.0,2,0,9,0,4,0.0,50.0,0.0,35.0,29.039,1.906,17.672,11.906,155,1,EW_green,10.0
138,132.0,0,0,11,0,4,0.0,61.0,0.0,39.0,28.918,2.227,23.579,11.906,155,1,EW_green,0.0
139,139.0,2,0,12,0,4,0.0,58.0,0.0,43.0,28.347,1.993,27.78,11.906,152,1,EW_green,1.0
140,140.0,2,0,12,0,4,0.0,58.0,0.0,47.0,26.847,1.795,27.78,11.906,150,1,EW_green,2.0
141,141.0,2,0,13,0,4,0.0,71.0,0.0,51.0,25.347,1.537,27.78,11.906,148,1,EW_green,3.0
142,142.0,2,0,13,0,4,0.0,62.0,0.0,55.0,23.847,1.382,27.78,11.906,148,1,EW_green,4.0
143,143.0,2,0,12,0,4,0.0,67.0,0.0,59.0,22.347,1.772,27.78,10.649,148,1,EW_green,5.0
144,144.0,2,0,14,0,4,0.0,81.0,0.0,63.0,22.779,1.448,27.374,11.906,147,1,EW_green,6.0
145,145.0,2,0,17,0,4,0.0,98.0,0.0,67.0,21.165,1.094,27.495,11.906,147,1,EW_green,7.0
146,146.0,2,0,18,0,4,0.0,116.0,0.0,71.0,18.876,0.914,27.78,11.906,145,1,EW_green,8.0
147,147.0,2,0,22,0,4,0.0,138.0,0.0,75.0,19.717,0.696,27.78,11.906,145,1,EW_green,9.0
148,148.0,2,1,24,0,4,1.0,162.0,0.0,79.0,18.198,0.523,27.827,11.906,144,1,EW_green,10.0
149,149.0,2,1,25,0,4,2.0,187.0,0.0,83.0,16.778,0.948,27.78,11.906,143,1,EW_green,11.0
150,150.0,2,1,27,0,4,3.0,214.0,0.0,87.0,18.474,0.672,27.78,11.906,141,1,EW_green,12.0
151,151.0,2,1,28,1,4,4.0,242.0,0.0,91.0,16.802,0.478,21.961,11.906,140,1,EW_green,13.0
152,152.0,2,1,30,0,4,5.0,272.0,0.0,95.0,16.424,0.31,21.274,11.906,140,1,EW_green,14.0
153,153.0,2,1,31,0,4,6.0,303.0,0.0,99.0,13.536,0.128,21.633,11.906,139,1,EW_green,15.0
154,154.0,2,1,32,0,4,7.0,335.0,0.0,103.0,11.312,0.094,22.246,11.906,138,1,EW_green,16.0
155,155.0,2,2,32,0,4,9.0,367.0,0.0,107.0,8.345,0.054,18.218,11.906,137,1,EW_green,17.0
156,156.0,2,2,34,0,4,11.0,401.0,0.0,111.0,9.147,0.049,19.219,11.906,137,1,EW_green,18.0
157,157.0,2,2,34,0,4,13.0,435.0,0.0,115.0,7.649,0.015,20.244,11.906,137,1,EW_green,19.0
158,158.0,2,4,36,0,4,17.0,470.0,0.0,119.0,6.248,0.008,22.794,11.906,136,1,EW_green,20.0
159,159.0,2,4,36,0,4,21.0,506.0,0.0,123.0,4.643,0.043,23.244,11.906,135,1,EW_green,21.0
160,160.0,2,4,37,0,4,25.0,543.0,0.0,127.0,3.378,0.077,23.737,11.906,134,1,EW_green,22.0
161,161.0,3,5,37,0,4,30.0,580.0,0.0,131.0,2.172,0.141,22.824,11.906,133,0,NS_green,23.0
162,162.0,4,5,37,0,3,35.0,617.0,0.0,99.0,1.472,0.2,21.182,13.89,133,0,NS_green,23.0
163,163.0,4,6,37,0,2,41.0,654.0,0.0,66.0,0.859,0.616,19.078,14.147,132,0,NS_green,23.0
164,164.0,4,6,37,1,1,47.0,691.0,1.0,33.0,0.208,0.566,17.925,14.659,132,0,NS_green,23.0
165,165.0,4,7,38,1,0,54.0,728.0,2.0,0.0,0.014,0.38,17.353,17.345,132,0,NS_green,23.0
166,166.0,4,7,37,2,0,61.0,765.0,4.0,0.0,0.001,0.237,14.011,14.901,132,0,NS_green,23.0
167,161.0,2,7,38,2,0,68.0,803.0,6.0,0.0,0.001,0.167,13.988,15.539,132,0,NS_green,0.0
168,168.0,0,4,35,2,0,29.0,740.0,8.0,0.0,4.346,0.665,13.088,15.454,132,0,NS_green,1.0
169,169.0,0,2,32,2,0,6.0,678.0,10.0,0.0,4.596,0.659,12.188,15.396,132,0,NS_green,2.0
170,170.0,0,2,31,2,1,3.0,618.0,12.0,1.0,5.123,0.75,12.815,13.056,132,0,NS_green,3.0
171,171.0,0,2,28,2,1,5.0,558.0,14.0,2.0,6.364,0.643,11.786,12.636,132,0,NS_green,4.0
172,172.0,0,2,26,3,2,7.0,500.0,16.0,4.0,6.226,0.622,5.246,12.183,132,0,NS_green,5.0
173,173.0,0,2,25,3,2,9.0,470.0,19.0,6.0,5.523,0.716,4.186,12.03,131,0,NS_green,6.0
174,174.0,0,2,25,3,3,11.0,441.0,22.0,9.0,11.294,0.601,4.512,10.325,131,0,NS_green,7.0
175,175.0,0,2,22,4,4,13.0,380.0,26.0,13.0,9.789,0.938,3.537,7.527,131,0,NS_green,8.0
176,176.0,0,2,20,4,4,15.0,319.0,30.0,17.0,8.636,0.873,2.692,6.238,131,0,NS_green,9.0
177,177.0,1,0,18,4,4,0.0,249.0,34.0,21.0,18.535,1.324,1.792,4.945,131,1,EW_green,10.0
178,178.0,1,0,16,5,5,0.0,206.0,39.0,26.0,18.974,1.603,2.857,3.986,131,1,EW_green,10.0
179,179.0,1,0,15,6,6,0.0,187.0,45.0,32.0,16.391,1.742,1.913,3.973,131,1,EW_green,10.0
180,180.0,1,0,13,6,6,0.0,132.0,51.0,38.0,14.88,1.645,3.036,3.97,130,1,EW_green,10.0
181,181.0,2,1,10,3,5,1.0,85.0,27.0,41.0,13.358,1.655,2.443,4.095,129,1,EW_green,10.0
182,182.0,2,1,11,3,5,2.0,60.0,14.0,46.0,12.706,1.643,1.359,5.748,129,1,EW_green,10.0
183,177.0,0,1,11,5,5,3.0,43.0,11.0,51.0,11.383,1.625,1.927,5.387,128,1,EW_green,0.0
184,184.0,2,1,10,6,5,4.0,31.0,11.0,56.0,9.883,1.811,1.654,5.584,128,1,EW_green,1.0
185,185.0,2,2,10,6,5,6.0,39.0,17.0,61.0,9.264,1.697,1.06,7.937,128,1,EW_green,2.0
186,186.0,2,2,13,7,5,8.0,46.0,24.0,66.0,9.26,1.523,2.453,7.937,127,1,EW_green,3.0
187,187.0,2,2,15,9,5,10.0,56.0,33.0,71.0,9.26,1.407,2.464,7.937,126,1,EW_green,4.0
188,188.0,2,2,15,10,5,12.0,69.0,43.0,76.0,9.26,1.196,2.145,6.436,126,1,EW_green,5.0
189,189.0,2,2,17,10,5,14.0,86.0,53.0,81.0,9.26,0.956,1.232,6.197,125,1,EW_green,6.0
190,190.0,2,2,18,10,5,16.0,104.0,63.0,86.0,9.26,0.775,0.708,7.937,123,1,EW_green,7.0
191,191.0,2,2,20,7,5,18.0,124.0,37.0,91.0,9.26,0.852,0.387,5.743,123,1,EW_green,8.0
192,192.0,2,2,22,4,5,20.0,145.0,19.0,96.0,9.26,0.614,1.848,6.104,121,1,EW_green,9.0
193,193.0,2,2,24,2,5,22.0,169.0,9.0,101.0,9.26,0.571,3.805,6.573,120,1,EW_green,10.0
194,194.0,2,2,26,0,5,24.0,195.0,0.0,106.0,9.26,0.666,3.647,6.59,119,1,EW_green,11.0
195,195.0,2,2,28,0,5,26.0,223.0,0.0,111.0,9.26,0.52,4.635,7.937,118,1,EW_green,12.0
196,196.0,2,2,29,0,5,28.0,252.0,0.0,116.0,9.26,0.73,6.829,7.937,117,1,EW_green,13.0
197,197.0,2,2,30,0,5,30.0,282.0,0.0,121.0,9.26,0.519,10.959,7.937,116,1,EW_green,14.0
198,198.0,2,2,31,0,5,32.0,313.0,0.0,126.0,9.26,0.267,16.119,7.937,113,1,EW_green,15.0
199,199.0,2,2,32,0,5,34.0,345.0,0.0,131.0,9.26,0.384,15.457,7.937,112,1,EW_green,16.0
200,200.0,3,2,33,1,5,36.0,378.0,1.0,136.0,9.26,0.801,17.581,7.937,111,1,EW_green,0.0
201,201.0,2,2,34,0,5,38.0,412.0,0.0,141.0,9.26,0.725,20.999,7.937,110,1,EW_green,1.0
202,202.0,2,2,35,0,5,40.0,447.0,0.0,146.0,9.26,0.504,21.334,7.937,109,1,EW_green,2.0
203,203.0,2,2,35,0,5,42.0,482.0,0.0,151.0,9.26,0.777,21.688,7.937,330,1,EW_green,3.0
204,204.0,2,2,35,0,5,44.0,517.0,0.0,156.0,9.26,0.582,27.78,7.937,330,1,EW_green,4.0
205,205.0,2,2,36,0,5,46.0,553.0,0.0,161.0,9.26,0.308,27.78,7.937,329,1,EW_green,5.0
206,206.0,2,2,38,0,5,48.0,591.0,0.0,166.0,9.26,0.654,25.415,7.937,329,1,EW_green,6.0
207,207.0,2,2,39,0,5,50.0,630.0,0.0,171.0,9.26,0.432,24.452,7.937,329,1,EW_green,7.0
208,208.0,2,2,40,0,5,52.0,670.0,0.0,176.0,9.26,0.272,23.444,8.025,329,1,EW_green,8.0
209,209.0,2,2,41,0,5,54.0,711.0,0.0,181.0,9.26,0.158,22.319,7.463,329,1,EW_green,9.0
210,210.0,2,2,41,0,6,56.0,752.0,0.0,187.0,9.26,0.088,27.78,6.945,327,1,EW_green,10.0
211,211.0,2,2,41,0,5,58.0,793.0,0.0,191.0,9.26,0.013,25.517,7.223,325,1,EW_green,11.0
212,212.0,2,2,42,0,5,60.0,835.0,0.0,196.0,9.26,0.001,24.525,6.98,324,1,EW_green,12.0
213,213.0,2,2,42,0,6,62.0,877.0,0.0,202.0,9.26,0.454,24.94,5.424,321,1,EW_green,13.0
214,214.0,2,2,42,0,6,64.0,919.0,0.0,207.0,9.26,0.349,27.78,5.586,318,1,EW_green,14.0
215,215.0,2,2,42,0,6,66.0,961.0,0.0,212.0,9.26,0.657,27.78,5.657,316,1,EW_green,15.0
216,216.0,2,2,42,0,5,68.0,1003.0,0.0,216.0,9.26,0.453,27.78,6.214,315,1,EW_green,16.0
217,217.0,2,2,42,0,7,70.0,1045.0,0.0,223.0,13.802,0.394,27.78,6.173,313,1,EW_green,17.0
218,218.0,3,2,42,0,6,72.0,1087.0,0.0,228.0,13.663,0.315,27.78,6.204,312,1,EW_green,0.0
219,219.0,2,2,43,0,7,74.0,1130.0,0.0,235.0,13.758,0.61,27.78,6.173,311,1,EW_green,1.0
220,220.0,2,2,43,0,7,76.0,1173.0,0.0,242.0,13.107,0.528,27.78,6.177,311,1,EW_green,2.0
221,221.0,2,2,44,0,7,78.0,1217.0,0.0,249.0,12.081,0.42,27.78,6.173,311,1,EW_green,3.0
222,222.0,2,2,44,0,7,80.0,1261.0,0.0,256.0,10.956,0.281,27.78,6.174,310,1,EW_green,4.0
223,223.0,2,2,44,0,7,82.0,1305.0,0.0,263.0,9.851,0.12,27.78,6.173,310,1,EW_green,5.0
224,224.0,2,2,46,0,7,84.0,1351.0,0.0,270.0,8.726,0.034,29.028,5.869,309,1,EW_green,6.0
225,225.0,2,2,46,0,7,86.0,1397.0,0.0,277.0,7.615,0.011,27.78,6.173,309,1,EW_green,7.0
226,226.0,2,2,46,0,7,88.0,1443.0,0.0,284.0,7.211,0.009,27.78,6.097,309,1,EW_green,8.0
227,227.0,2,3,47,0,7,91.0,1490.0,0.0,291.0,6.953,0.001,27.78,6.173,309,1,EW_green,9.0
